max_depth,n_estimators,Accuracy_Train,Accuracy_Test,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
1,1,0.7156798828679861,0.692573623559539,0.7026814075382262,0.6592906998679495,0.7202508960573477,0.7048387096774194,0.8133555020436514,0.792076879148489,0.6851119190191046,0.6137426900584796
1,2,0.7230130777990642,0.6706195213237467,0.7726240603151097,0.7253466327108093,0.7228494623655914,0.6717741935483871,0.8151570409489388,0.7594948557028937,0.7237952666096378,0.6681286549707602
1,4,0.8214111323975398,0.7878853540825372,0.8061688067796817,0.7712966893039048,0.8508960573476703,0.8241935483870968,0.8921436066095694,0.865635103126667,0.6247041631023666,0.5502923976608188
1,8,0.817279218051539,0.7962818871269576,0.8123056865659363,0.7886613374834937,0.8421146953405018,0.8225806451612904,0.8888485604279509,0.8698291940770885,0.651600370687197,0.624561403508772
1,16,0.8186802980747517,0.7983847138776717,0.8203362763719874,0.7909969817015657,0.8439068100358422,0.8258064516129032,0.8897240248355919,0.8716598210918528,0.6504277159965783,0.618421052631579
1,32,0.8216431382832778,0.8004826159755737,0.8282189605044902,0.7964016223354083,0.8456989247311828,0.825,0.8917049609607373,0.8724857517520258,0.6612132877102938,0.6400584795321638
1,64,0.8232009527902623,0.8047079680882498,0.8314952388489789,0.8061144123750236,0.8479390681003582,0.831451612903226,0.8927806734546737,0.8760321049118576,0.6582477901340178,0.6289473684210527
1,100,0.8232787130047129,0.8075248694967005,0.8336415845983403,0.8060212695717789,0.8482078853046595,0.8346774193548387,0.892856150609617,0.878281748862285,0.6570501853435985,0.6289473684210527
1,128,0.821098088349201,0.8075248694967005,0.8340651741831238,0.8099615638558764,0.8458781362007167,0.8346774193548387,0.8913749561685933,0.878281748862285,0.6558525805531794,0.6289473684210527
2,1,0.7533193474212261,0.7276125283167537,0.7696881087415542,0.7392944727409924,0.7687275985663083,0.7467741935483871,0.8390997124775555,0.8136071896407389,0.6504098944967208,0.6008771929824561
2,2,0.770447719155115,0.7436521225253621,0.8091238014881654,0.7746757687228826,0.7840501792114696,0.7612903225806452,0.8546937110799174,0.8311048758321704,0.6798046763615626,0.6274853801169591
2,4,0.8115914923890901,0.793420663843199,0.8352116172161566,0.8014773156008299,0.8261648745519714,0.8080645161290322,0.8840222782786329,0.8648430601850986,0.7144354148845167,0.6985380116959065
2,8,0.8130709396541885,0.7948291145474244,0.8390312932123465,0.8144583569137899,0.8275985663082437,0.810483870967742,0.8849748322140943,0.8660853715132262,0.7162104362703164,0.6929824561403509
2,16,0.8182132511660998,0.8018467448044913,0.840456404778768,0.8064881626108281,0.8326164874551972,0.8185483870967742,0.8883477526895962,0.8716043123259174,0.7222055888223553,0.6929824561403509
2,32,0.8176675942045877,0.8053629469122427,0.846138112919067,0.8099014336917563,0.8309139784946236,0.8193548387096774,0.8878526042909964,0.8739481891610736,0.7293769603649842,0.7140350877192982
2,64,0.8161869328846187,0.802555894809416,0.8501262372208986,0.8167657045840407,0.8289426523297492,0.8161290322580645,0.8868165468132606,0.8719409526791054,0.7311591103507272,0.7140350877192982
2,100,0.8172004865931921,0.8011474441051906,0.8530940694775323,0.8178162139219017,0.8302867383512543,0.8129032258064516,0.8875880329073127,0.8702094269578765,0.7299508126603935,0.7251461988304093
2,128,0.8173564926440415,0.8011474441051906,0.8536578404890168,0.8156951518581399,0.8302867383512543,0.8129032258064516,0.887672097864424,0.8702094269578765,0.7311555460507557,0.7251461988304093
4,1,0.8535996119880634,0.7977445090121147,0.8312504854602112,0.7715572533484248,0.8862007168458781,0.8346774193548386,0.9116453850616214,0.8684668033788645,0.6360849729113202,0.5538011695906432
4,2,0.8224248075116003,0.780114251945238,0.8546801685926664,0.7813785134880212,0.8376344086021505,0.8,0.891278597430678,0.8567460690870741,0.7210079840319361,0.6502923976608188
4,4,0.854295933158995,0.8061410420565348,0.8717272476296765,0.8048811544991512,0.8740143369175628,0.8379032258064516,0.9120220159252442,0.878445914752304,0.7227616196179071,0.5970760233918129
4,8,0.8537496084673043,0.8033192159952725,0.879585628410358,0.8101254480286739,0.8729390681003585,0.8346774193548386,0.9118311476159027,0.8754177416034743,0.7257520672939834,0.5961988304093567
4,16,0.844709088171949,0.8089185462424899,0.8834962020403637,0.8104968402188266,0.8602150537634408,0.8314516129032258,0.9058618093652864,0.8781144089772788,0.7413173652694611,0.6599415204678363
4,32,0.8410456168977012,0.8117255983453167,0.8888434169168065,0.8129044048292775,0.8552867383512546,0.8346774193548386,0.9033319442169127,0.879965978957916,0.7460935272312519,0.660233918128655
4,64,0.8432275163108273,0.8075100955382645,0.8912219579657888,0.8144406715714017,0.8582437275985664,0.835483870967742,0.9047324463777702,0.8775594106149447,0.7431066438551469,0.6225146198830409
4,100,0.8412014408403202,0.8124199743918054,0.8922307858042237,0.8144300603659687,0.8552867383512546,0.835483870967742,0.9034099894488967,0.8802044157775548,0.747298260621614,0.660233918128655
4,128,0.8435385571686297,0.8096129222889786,0.8924253259993069,0.8129385964912281,0.8580645161290322,0.835483870967742,0.904985157548548,0.8788332464528402,0.7466994582264044,0.6383040935672514
8,1,0.9070433393307644,0.8231655668275387,0.8885127690088334,0.6961646387474062,0.9290322580645162,0.8725806451612902,0.9454729236808731,0.8943658037163853,0.7604220131166239,0.4923976608187136
8,2,0.9284721969294123,0.8077218556091795,0.9379702831919365,0.7300804093567251,0.9474014336917562,0.8524193548387096,0.9583459380759676,0.8819578031423866,0.8022668947818647,0.5076023391812864
8,4,0.948029588945302,0.8351275485078302,0.9632231297134354,0.740116251650632,0.9698028673835125,0.8822580645161292,0.9700821502666852,0.8994720814352387,0.8028835186769319,0.5192982456140351
8,8,0.9551972474947978,0.8505564857677534,0.9717931887760578,0.7234531220524428,0.9767025089605734,0.9008064516129032,0.9742838282686502,0.9108956737694195,0.8118013972055887,0.5137426900584795
8,16,0.962210053345571,0.8624741455727373,0.978191019394902,0.737749952839087,0.9867383512544803,0.9161290322580646,0.978449170358622,0.9192995726647553,0.7986562589107499,0.5029239766081871
8,32,0.9642351575721815,0.8624593716143012,0.983511690456772,0.7339700056593095,0.9880824372759858,0.9193548387096774,0.9796100905321381,0.919840302045053,0.8052145708582834,0.481578947368421
8,64,0.9654822954378245,0.8751058800354574,0.9861619726496826,0.7440647990945104,0.9887992831541219,0.9314516129032258,0.9803211858002971,0.9275874065767921,0.8099978614200172,0.49736842105263157
8,100,0.9659497672656812,0.8708854525755936,0.9870708467856912,0.7437370307489153,0.9890681003584231,0.9266129032258064,0.9805847803170851,0.9250320162499248,0.8117978329056174,0.49736842105263157
8,128,0.9650146415017373,0.8687777011720674,0.9871356461424309,0.7420250896057349,0.988709677419355,0.925,0.9800556857279462,0.9238081209260732,0.8070109780439122,0.49210526315789477
16,1,0.9579251073831534,0.8414508027184082,0.9006718497848134,0.6612337294850028,0.978584229390681,0.9056451612903226,0.975868633849486,0.9072305059578998,0.8201953236384373,0.41228070175438597
16,2,0.9595616533484848,0.7950851964936472,0.9675296232930963,0.7037245331069609,0.9635304659498208,0.835483870967742,0.976418710253572,0.8724528533876816,0.9331123467351012,0.5245614035087718
16,4,0.9816889567140878,0.8386339013099576,0.9965119300569368,0.7234543010752688,0.9900537634408602,0.8895161290322582,0.9894762177785517,0.9022833910194115,0.9258839463929283,0.49795321637426904
16,8,0.9905717712817749,0.8590121146459173,0.998568216549492,0.7321554895302774,0.9948028673835125,0.9137096774193548,0.9945801472693434,0.9153853717757044,0.9623431708012546,0.4926900584795321
16,16,0.991740663311019,0.8632029941889096,0.9993009548619096,0.7188148462554235,0.9956989247311828,0.9185483870967742,0.9952526552785506,0.9184275483711236,0.9653336184773311,0.49210526315789477
16,32,0.9947015003290088,0.8681128730424506,0.9996243128821722,0.7345878136200718,0.995878136200717,0.928225806451613,0.9969499052755276,0.9226654895086106,0.9868441688052467,0.46578947368421053
16,64,0.9947016217344959,0.8702403230572244,0.999559880814408,0.7473436615732881,0.9957885304659498,0.9306451612903224,0.9969498270573206,0.9232942855279156,0.987450099800399,0.4654970760233918
16,100,0.9961042193262968,0.8744607505170887,0.9995688538437717,0.7488363044708546,0.9963261648745521,0.9354838709677418,0.9977566398571114,0.9259940590848051,0.9946250356429998,0.4654970760233918
16,128,0.996260103971659,0.8737565251649759,0.9995853850414891,0.7508135257498585,0.9963261648745521,0.9354838709677418,0.9978460846658637,0.9256260682544127,0.995822640433419,0.45994152046783626
32,1,0.9575355171752342,0.8393430513148822,0.8981173725258138,0.6529499151103566,0.9788530465949821,0.9048387096774192,0.9756573502103867,0.9062031486595806,0.815422725976618,0.4011695906432749
32,2,0.9605743572186489,0.7950901211464592,0.9672239031282034,0.6978706847764573,0.9646057347670253,0.8362903225806452,0.977020724111131,0.8726597010009387,0.9337040205303678,0.5187134502923977
32,4,0.9818450841704243,0.8393627499261301,0.996617235000046,0.7188938407847576,0.9897849462365592,0.8895161290322582,0.9895625972701358,0.9031265410002028,0.9288637011690903,0.5032163742690059
32,8,0.9913512552113305,0.8590121146459173,0.9986451891404083,0.7311509620826259,0.9949820788530465,0.914516129032258,0.9950260506688278,0.9159813586978596,0.9671300256629598,0.4874269005847953
32,16,0.9925979074550254,0.8625233921008568,0.999285265235019,0.7253466327108093,0.9963261648745521,0.920967741935484,0.9957459075714832,0.9183017449077713,0.9677252637581979,0.47105263157894733
32,32,0.9952471572905208,0.870944548409337,0.9996208028770928,0.728775231088474,0.996057347670251,0.9330645161290324,0.9972635876668958,0.9244766792804692,0.9898453093812375,0.4552631578947368
32,64,0.9951690328596092,0.8737614498177878,0.9995575046144272,0.7390091492171288,0.9953405017921145,0.9346774193548388,0.9972170321099503,0.9254745886945305,0.9940119760479043,0.4654970760233918
32,100,0.996260103971659,0.8702550970156604,0.9995795722942236,0.7481442180720619,0.9963261648745521,0.9314516129032256,0.9978460846658637,0.9233968113499499,0.995822640433419,0.460233918128655
32,128,0.996260103971659,0.8723480744607507,0.9995891697148458,0.7436462459913223,0.9963261648745521,0.9330645161290322,0.9978460846658637,0.924876242399795,0.995822640433419,0.4654970760233918
64,1,0.9575355171752342,0.8393430513148822,0.8981173725258138,0.6529499151103566,0.9788530465949821,0.9048387096774192,0.9756573502103867,0.9062031486595806,0.815422725976618,0.4011695906432749
64,2,0.9605743572186489,0.7950901211464592,0.9672239031282034,0.6978706847764573,0.9646057347670253,0.8362903225806452,0.977020724111131,0.8726597010009387,0.9337040205303678,0.5187134502923977
64,4,0.9818450841704243,0.8393627499261301,0.996617235000046,0.7188938407847576,0.9897849462365592,0.8895161290322582,0.9895625972701358,0.9031265410002028,0.9288637011690903,0.5032163742690059
64,8,0.9913512552113305,0.8590121146459173,0.9986451891404083,0.7311509620826259,0.9949820788530465,0.914516129032258,0.9950260506688278,0.9159813586978596,0.9671300256629598,0.4874269005847953
64,16,0.9925979074550254,0.8625233921008568,0.999285265235019,0.7253466327108093,0.9963261648745521,0.920967741935484,0.9957459075714832,0.9183017449077713,0.9677252637581979,0.47105263157894733
64,32,0.9952471572905208,0.870944548409337,0.9996208028770928,0.728775231088474,0.996057347670251,0.9330645161290324,0.9972635876668958,0.9244766792804692,0.9898453093812375,0.4552631578947368
64,64,0.9951690328596092,0.8737614498177878,0.9995575046144272,0.7390091492171288,0.9953405017921145,0.9346774193548388,0.9972170321099503,0.9254745886945305,0.9940119760479043,0.4654970760233918
64,100,0.996260103971659,0.8702550970156604,0.9995795722942236,0.7481442180720619,0.9963261648745521,0.9314516129032256,0.9978460846658637,0.9233968113499499,0.995822640433419,0.460233918128655
64,128,0.996260103971659,0.8723480744607507,0.9995891697148458,0.7436462459913223,0.9963261648745521,0.9330645161290322,0.9978460846658637,0.924876242399795,0.995822640433419,0.4654970760233918
None,1,0.9575355171752342,0.8393430513148822,0.8981173725258138,0.6529499151103566,0.9788530465949821,0.9048387096774192,0.9756573502103867,0.9062031486595806,0.815422725976618,0.4011695906432749
None,2,0.9605743572186489,0.7950901211464592,0.9672239031282034,0.6978706847764573,0.9646057347670253,0.8362903225806452,0.977020724111131,0.8726597010009387,0.9337040205303678,0.5187134502923977
None,4,0.9818450841704243,0.8393627499261301,0.996617235000046,0.7188938407847576,0.9897849462365592,0.8895161290322582,0.9895625972701358,0.9031265410002028,0.9288637011690903,0.5032163742690059
None,8,0.9913512552113305,0.8590121146459173,0.9986451891404083,0.7311509620826259,0.9949820788530465,0.914516129032258,0.9950260506688278,0.9159813586978596,0.9671300256629598,0.4874269005847953
None,16,0.9925979074550254,0.8625233921008568,0.999285265235019,0.7253466327108093,0.9963261648745521,0.920967741935484,0.9957459075714832,0.9183017449077713,0.9677252637581979,0.47105263157894733
None,32,0.9952471572905208,0.870944548409337,0.9996208028770928,0.728775231088474,0.996057347670251,0.9330645161290324,0.9972635876668958,0.9244766792804692,0.9898453093812375,0.4552631578947368
None,64,0.9951690328596092,0.8737614498177878,0.9995575046144272,0.7390091492171288,0.9953405017921145,0.9346774193548388,0.9972170321099503,0.9254745886945305,0.9940119760479043,0.4654970760233918
None,100,0.996260103971659,0.8702550970156604,0.9995795722942236,0.7481442180720619,0.9963261648745521,0.9314516129032256,0.9978460846658637,0.9233968113499499,0.995822640433419,0.460233918128655
None,128,0.996260103971659,0.8723480744607507,0.9995891697148458,0.7436462459913223,0.9963261648745521,0.9330645161290322,0.9978460846658637,0.924876242399795,0.995822640433419,0.4654970760233918
