max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
1,1,0.6387043428331132,0.6346109175377468,0.9709675517949244,0.9708091366627952,0.9358724417227984,0.9358028522701647,0.30644113387130145,0.29841269841269835
1,2,0.6504426069630936,0.6454590914956769,0.9709675517949244,0.9708091366627952,0.9374052870321592,0.9372370407787436,0.3290564866542521,0.31904761904761897
1,4,0.6827756909750685,0.6488821138211383,0.9501701937665546,0.9432442895857529,0.9296797422583543,0.9226558482167536,0.387870887647424,0.3452380952380952
1,8,0.7428607293399302,0.6888421086591819,0.954283875034055,0.9505226480836239,0.9395524568248931,0.934289270075643,0.4864432029795159,0.43730158730158725
1,16,0.7886648789152197,0.7542957155762035,0.9153629462132932,0.9049941927990711,0.9195922193411121,0.9082302952059804,0.524320297951583,0.4595238095238095
1,32,0.7936679274860272,0.7605449090205187,0.843333922769067,0.8331978319783198,0.8823606323061146,0.8666925520213502,0.6001075936271467,0.5261904761904762
1,64,0.7952034176321013,0.7672473867595819,0.7178110538229084,0.7079945799457994,0.8117428838676831,0.7979273958566019,0.692445685909373,0.6563492063492062
1,100,0.792707191852943,0.7619499290230999,0.7425310138341031,0.7241385985288423,0.8258877119133486,0.8034293057814298,0.6661007655700393,0.5984126984126984
1,128,0.7961685899843423,0.7646180152277714,0.7161652053765822,0.6910181958962446,0.8107871281113384,0.7831624497617856,0.6866708048830952,0.6365079365079365
2,1,0.6650445475835833,0.6523180410375532,0.9483927201438038,0.951296941540844,0.9264519194204954,0.9269952221356274,0.36888164701013865,0.34444444444444433
2,2,0.7307436715793254,0.7191379532842948,0.953063278942803,0.9586140147115756,0.9308494779450004,0.9342791993627497,0.387727084626526,0.37142857142857133
2,4,0.7396944582191776,0.7169989676087237,0.8966529332781956,0.9182733255903988,0.9052681083297863,0.9129215443772309,0.46930374508586786,0.3984126984126983
2,8,0.7844438907877108,0.7385227126080784,0.924194364344615,0.9123693379790941,0.9254275848733367,0.9123138665057073,0.5252296710117941,0.45476190476190476
2,16,0.7981382113680974,0.7625629113433992,0.8730304840381269,0.8721254355400696,0.9007751860993799,0.8915651314608152,0.586772191185599,0.4928571428571429
2,32,0.8038598225047491,0.758746289843851,0.842468983845284,0.8164343786295005,0.8854973288523722,0.858049026358414,0.6216201117318435,0.49841269841269836
2,64,0.8056898322571899,0.7667489353464964,0.719050029170107,0.7049748354626402,0.8136960211400583,0.7965473883577129,0.6985309331678045,0.6619047619047618
2,100,0.8077905595693794,0.76351948638534,0.7048678573268484,0.6879790940766549,0.8052537543536538,0.7846235143592196,0.7107707428098489,0.6674603174603174
2,128,0.8100248964090905,0.76708768873403,0.7252798079274929,0.7008904374758033,0.8178077515168437,0.7917915881092112,0.7024074074074073,0.6626984126984127
4,1,0.7321583498858952,0.7064072783584979,0.9022717642182806,0.88625629113434,0.9046171779488714,0.8879842549375901,0.4403600248292986,0.3888888888888888
4,2,0.7637164409851965,0.7299893534649633,0.91910597915254,0.9198993418505613,0.920243708091493,0.9177959793073213,0.5085805917649492,0.45476190476190476
4,4,0.7927682978221603,0.744557362240289,0.8496852320357857,0.852245451025939,0.8888621168241928,0.8848139805020092,0.6053486447341196,0.523015873015873
4,8,0.821829460627817,0.7587527422893278,0.8502706531087166,0.8320751064653504,0.891900704245667,0.8761831864583378,0.6355327953651976,0.5738095238095239
4,16,0.8287740735457495,0.755103884372177,0.8531076490657442,0.8361207897793262,0.8953360171774795,0.8781037057672351,0.656822884336851,0.5706349206349206
4,32,0.8362904411639479,0.761311136920893,0.8705471727274119,0.8384049554781263,0.9051437160969341,0.8786673306219772,0.6525853507138424,0.5595238095238096
4,64,0.8379203059224641,0.7654616724738675,0.8669640300324468,0.8488966318234611,0.904101042918795,0.8872617461424078,0.6648148148148147,0.5857142857142857
4,100,0.8378167272167497,0.7706236288553361,0.8670759532034438,0.8431668602400308,0.9038557542645482,0.8821681803277263,0.6611142147734325,0.5706349206349207
4,128,0.8385744041820832,0.771812491934443,0.879921428680829,0.8569686411149825,0.9108728733233649,0.8893866539911313,0.6566666666666664,0.5492063492063491
8,1,0.801116266878222,0.6608304297328688,0.8804842005696643,0.8420054200542004,0.9071473597705662,0.8669967598535423,0.612761224912063,0.3904761904761905
8,2,0.8513501597738392,0.707734869015357,0.9117071683275295,0.8752226093689508,0.9295587371299817,0.8937679586860773,0.6712714669977238,0.47777777777777775
8,4,0.8973514034465916,0.7231078203639179,0.9456082628679158,0.9035036778939217,0.9496300481502692,0.909737063214214,0.6948241258017794,0.46111111111111114
8,8,0.9181872848297008,0.734798038456575,0.9651557618735331,0.9237901664730935,0.9602428017996306,0.9211336628658298,0.6998417132216014,0.4555555555555555
8,16,0.9314962048912634,0.7414053426248549,0.9843152775708564,0.9497677119628339,0.9707575031797717,0.9331030101249382,0.7092965032071178,0.42460317460317465
8,32,0.9416598023765921,0.7585398115885922,0.9924356366346838,0.9570073557878435,0.9748687568682907,0.9376384897845897,0.7093089178564038,0.4341269841269842
8,64,0.9455259797071651,0.7585333591431153,0.9955783965770025,0.9684475416182734,0.9763029368275667,0.943762586302652,0.7072770535899028,0.43412698412698414
8,100,0.9441525699265031,0.7632533230094205,0.9965795786973283,0.9692411924119243,0.976100175167046,0.9442005255809172,0.6974487895716946,0.43412698412698403
8,128,0.9441251816225844,0.7595463930829784,0.9967464539871149,0.9732481610530394,0.976117364670465,0.9458761621581285,0.6965238981998758,0.4293650793650793
16,1,0.8706530047599941,0.6377500322622273,0.9606783244987592,0.9037553232675183,0.9621357107998212,0.9037406870267125,0.7590068280571073,0.3706349206349207
16,2,0.9528428832185601,0.7333897922312557,0.9623750871970385,0.8914440572977159,0.9723204791718755,0.9065260118034136,0.8855845230705565,0.5261904761904762
16,4,0.9912676278296045,0.7675522648083625,0.9896552868440265,0.9529810298102981,0.9871436575363453,0.9370796352046344,0.8970970411752535,0.45396825396825397
16,8,0.9982503838519544,0.7591447283520456,0.9972469870319498,0.968428184281843,0.9917186738762884,0.9456695166343556,0.9072873991309744,0.4619047619047619
16,16,0.999826941736523,0.7770276809910956,0.9995272214881351,0.9789585753000388,0.9944954342571266,0.9482134388339462,0.9293627146699773,0.419047619047619
16,32,0.9999641200065502,0.7797844883210738,0.9998331015040823,0.9789585753000388,0.995804774483756,0.9474347059391018,0.9449462031864265,0.4079365079365079
16,64,0.9999978361967975,0.7829703832752614,1.0,0.9813395276809911,0.9977806088810728,0.9481331881729396,0.9703434719635834,0.40238095238095234
16,100,0.9999990723100551,0.7825558136533746,1.0,0.9845528455284553,0.9978913848590256,0.9494142590925783,0.9718218497827436,0.3968253968253968
16,128,0.9999995349252179,0.7878952122854562,1.0,0.9837591947348046,0.9983070116928477,0.9493794280232645,0.9773836126629422,0.40238095238095234
32,1,0.8753030601958695,0.6596883468834687,0.9758616552562119,0.9304878048780487,0.971171260252359,0.9208569127717414,0.7747444651355264,0.38888888888888895
32,2,0.9578986247318607,0.7302006710543295,0.9544764627172617,0.8739837398373985,0.9718442038765708,0.9012376341050917,0.9349203393337472,0.5603174603174603
32,4,0.9941888659543169,0.7583881791198865,0.9886818592566703,0.923093302361595,0.989340604556082,0.9228417730806581,0.9334398924063729,0.4873015873015872
32,8,0.9992944302218517,0.7747096399535424,0.9972748575955755,0.9628339140534263,0.9949645420171055,0.9404908716088359,0.9508597144630663,0.4293650793650793
32,16,0.9999517500863256,0.7818960511033684,0.9997775228197493,0.9717189314750293,0.9975866483349675,0.9439894254192116,0.9692106352162215,0.4126984126984127
32,32,0.9999961336997216,0.7853884372177053,0.9998330782979511,0.976519550909795,0.9989028752725131,0.945022857113692,0.9864752741568386,0.39206349206349206
32,64,1.0,0.7953203639179249,1.0,0.9813588850174215,1.0,0.9477518674861373,1.0,0.39682539682539686
32,100,1.0,0.794888050070977,1.0,0.9837785520712352,1.0,0.9495038199853799,1.0,0.4023809523809524
32,128,1.0,0.7983546264034069,1.0,0.9821525358110724,1.0,0.9481924139571478,1.0,0.3968253968253968
64,1,0.8753030601958695,0.6596883468834687,0.9758616552562119,0.9304878048780487,0.971171260252359,0.9208569127717414,0.7747444651355264,0.38888888888888895
64,2,0.9578986247318607,0.7302006710543295,0.9544764627172617,0.8739837398373985,0.9718442038765708,0.9012376341050917,0.9349203393337472,0.5603174603174603
64,4,0.9941888659543169,0.7583881791198865,0.9886818592566703,0.923093302361595,0.989340604556082,0.9228417730806581,0.9334398924063729,0.4873015873015872
64,8,0.9992944302218517,0.7747096399535424,0.9972748575955755,0.9628339140534263,0.9949645420171055,0.9404908716088359,0.9508597144630663,0.4293650793650793
64,16,0.9999517500863256,0.7818960511033684,0.9997775228197493,0.9717189314750293,0.9975866483349675,0.9439894254192116,0.9692106352162215,0.4126984126984127
64,32,0.9999961336997216,0.7853884372177053,0.9998330782979511,0.976519550909795,0.9989028752725131,0.945022857113692,0.9864752741568386,0.39206349206349206
64,64,1.0,0.7953203639179249,1.0,0.9813588850174215,1.0,0.9477518674861373,1.0,0.39682539682539686
64,100,1.0,0.794888050070977,1.0,0.9837785520712352,1.0,0.9495038199853799,1.0,0.4023809523809524
64,128,1.0,0.7983546264034069,1.0,0.9821525358110724,1.0,0.9481924139571478,1.0,0.3968253968253968
None,1,0.8753030601958695,0.6596883468834687,0.9758616552562119,0.9304878048780487,0.971171260252359,0.9208569127717414,0.7747444651355264,0.38888888888888895
None,2,0.9578986247318607,0.7302006710543295,0.9544764627172617,0.8739837398373985,0.9718442038765708,0.9012376341050917,0.9349203393337472,0.5603174603174603
None,4,0.9941888659543169,0.7583881791198865,0.9886818592566703,0.923093302361595,0.989340604556082,0.9228417730806581,0.9334398924063729,0.4873015873015872
None,8,0.9992944302218517,0.7747096399535424,0.9972748575955755,0.9628339140534263,0.9949645420171055,0.9404908716088359,0.9508597144630663,0.4293650793650793
None,16,0.9999517500863256,0.7818960511033684,0.9997775228197493,0.9717189314750293,0.9975866483349675,0.9439894254192116,0.9692106352162215,0.4126984126984127
None,32,0.9999961336997216,0.7853884372177053,0.9998330782979511,0.976519550909795,0.9989028752725131,0.945022857113692,0.9864752741568386,0.39206349206349206
None,64,1.0,0.7953203639179249,1.0,0.9813588850174215,1.0,0.9477518674861373,1.0,0.39682539682539686
None,100,1.0,0.794888050070977,1.0,0.9837785520712352,1.0,0.9495038199853799,1.0,0.4023809523809524
None,128,1.0,0.7983546264034069,1.0,0.9821525358110724,1.0,0.9481924139571478,1.0,0.3968253968253968
