Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.8206,0.3125,0.8255,0.5398,0.6875,0.5383,0.9303,0.5208,0.9342,4093,15,33,865,2669,33,15,2289,4632,25,23,326
0.8258,0.3958,0.83,0.5521,0.8542,0.5492,0.9233,0.6667,0.9258,4115,19,29,843,2723,41,7,2235,4590,32,16,368
0.8166,0.3125,0.8215,0.5441,0.7292,0.5424,0.9215,0.5625,0.925,4073,15,33,885,2689,35,13,2269,4586,27,21,372
0.8258,0.3958,0.83,0.5541,0.7917,0.5518,0.9297,0.5833,0.933,4115,19,29,843,2736,38,10,2222,4626,28,20,332
0.8292,0.4167,0.8332,0.5519,0.8333,0.5492,0.9463,0.5833,0.9498,4131,20,28,827,2723,40,8,2235,4709,28,20,249
0.8386,0.4583,0.8423,0.5366,0.7708,0.5343,0.8999,0.5625,0.9032,4176,22,26,782,2649,37,11,2309,4478,27,21,480
0.823,0.3125,0.828,0.5465,0.75,0.5446,0.9299,0.625,0.9328,4105,15,33,853,2700,36,12,2258,4625,30,18,333
0.8188,0.2708,0.8241,0.5358,0.7917,0.5333,0.9301,0.5625,0.9336,4086,13,35,872,2644,38,10,2314,4629,27,21,329
0.822,0.4167,0.8259,0.5451,0.75,0.5432,0.9355,0.6458,0.9383,4095,20,28,863,2693,36,12,2265,4652,31,17,306
0.8238,0.3542,0.8284,0.5435,0.6875,0.5422,0.9343,0.6458,0.9371,4107,17,31,851,2688,33,15,2270,4646,31,17,312
0.808,0.2708,0.8132,0.5455,0.7292,0.5438,0.9279,0.5208,0.9318,4032,13,35,926,2696,35,13,2262,4620,25,23,338
0.8286,0.3333,0.8334,0.5573,0.7708,0.5553,0.9209,0.6875,0.9232,4132,16,32,826,2753,37,11,2205,4577,33,15,381
0.8192,0.4792,0.8225,0.5447,0.7917,0.5424,0.9379,0.5,0.9421,4078,23,25,880,2689,38,10,2269,4671,24,24,287
0.8254,0.2917,0.8306,0.5463,0.75,0.5444,0.9429,0.5625,0.9466,4118,14,34,840,2699,36,12,2259,4693,27,21,265
0.8208,0.2708,0.8261,0.5485,0.7083,0.547,0.9355,0.6458,0.9383,4096,13,35,862,2712,34,14,2246,4652,31,17,306
0.8246,0.3958,0.8288,0.5451,0.875,0.542,0.9359,0.5,0.9401,4109,19,29,849,2687,42,6,2271,4661,24,24,297
0.827,0.375,0.8314,0.5451,0.7708,0.543,0.9259,0.6042,0.929,4122,18,30,836,2692,37,11,2266,4606,29,19,352
0.8172,0.3125,0.8221,0.5479,0.7708,0.5458,0.9141,0.6875,0.9163,4076,15,33,882,2706,37,11,2252,4543,33,15,415
0.8176,0.4167,0.8215,0.5445,0.8542,0.5415,0.9125,0.5,0.9165,4073,20,28,885,2685,41,7,2273,4544,24,24,414
0.8216,0.3958,0.8257,0.5495,0.7708,0.5474,0.9243,0.6875,0.9266,4094,19,29,864,2714,37,11,2244,4594,33,15,364
0.8136,0.375,0.8179,0.5354,0.7917,0.5329,0.9145,0.6667,0.9169,4055,18,30,903,2642,38,10,2316,4546,32,16,412
0.821,0.3333,0.8257,0.5396,0.6875,0.5381,0.9455,0.6042,0.9488,4094,16,32,864,2668,33,15,2290,4704,29,19,254
0.8234,0.25,0.829,0.5447,0.7083,0.5432,0.9329,0.5833,0.9363,4110,12,36,848,2693,34,14,2265,4642,28,20,316
0.83,0.3125,0.835,0.5491,0.8125,0.5466,0.9055,0.5833,0.9086,4140,15,33,818,2710,39,9,2248,4505,28,20,453
0.8268,0.3958,0.831,0.5453,0.8125,0.5428,0.9227,0.6458,0.9254,4120,19,29,838,2691,39,9,2267,4588,31,17,370
0.817,0.3542,0.8215,0.537,0.7292,0.5351,0.9351,0.6667,0.9377,4073,17,31,885,2653,35,13,2305,4649,32,16,309
0.8238,0.4167,0.8278,0.5356,0.7083,0.5339,0.9465,0.625,0.9496,4104,20,28,854,2647,34,14,2311,4708,30,18,250
0.8202,0.2917,0.8253,0.5382,0.7292,0.5363,0.9349,0.6667,0.9375,4092,14,34,866,2659,35,13,2299,4648,32,16,310
0.831,0.3542,0.8356,0.5577,0.8125,0.5553,0.9363,0.6042,0.9395,4143,17,31,815,2753,39,9,2205,4658,29,19,300
0.8202,0.4167,0.8241,0.5469,0.7708,0.5448,0.9235,0.6042,0.9266,4086,20,28,872,2701,37,11,2257,4594,29,19,364
0.8294,0.3958,0.8336,0.5463,0.8125,0.5438,0.9313,0.7292,0.9332,4133,19,29,825,2696,39,9,2262,4627,35,13,331
0.8162,0.3125,0.8211,0.5455,0.75,0.5436,0.9237,0.6042,0.9268,4071,15,33,887,2695,36,12,2263,4595,29,19,363
0.8218,0.2708,0.8271,0.5523,0.7708,0.5502,0.9307,0.4792,0.9351,4101,13,35,857,2728,37,11,2230,4636,23,25,322
0.8336,0.3125,0.8386,0.5451,0.7292,0.5434,0.9155,0.6667,0.9179,4158,15,33,800,2694,35,13,2264,4551,32,16,407
0.8262,0.2917,0.8314,0.5491,0.75,0.5472,0.9301,0.5208,0.934,4122,14,34,836,2713,36,12,2245,4631,25,23,327
0.8198,0.4167,0.8237,0.5441,0.8125,0.5415,0.9299,0.5833,0.9332,4084,20,28,874,2685,39,9,2273,4627,28,20,331
0.8214,0.25,0.8269,0.5537,0.7917,0.5514,0.9323,0.7083,0.9344,4100,12,36,858,2734,38,10,2224,4633,34,14,325
0.8236,0.4375,0.8273,0.5423,0.7917,0.5399,0.9291,0.7292,0.931,4102,21,27,856,2677,38,10,2281,4616,35,13,342
0.8264,0.3542,0.831,0.5364,0.7292,0.5345,0.9203,0.6458,0.923,4120,17,31,838,2650,35,13,2308,4576,31,17,382
0.8236,0.2292,0.8294,0.5425,0.6667,0.5413,0.9293,0.6875,0.9316,4112,11,37,846,2684,32,16,2274,4619,33,15,339
0.8256,0.4583,0.8292,0.5473,0.7708,0.5452,0.9447,0.6667,0.9474,4111,22,26,847,2703,37,11,2255,4697,32,16,261
0.8278,0.4167,0.8318,0.5529,0.8958,0.5496,0.9235,0.5833,0.9268,4124,20,28,834,2725,43,5,2233,4595,28,20,363
0.8288,0.3542,0.8334,0.5402,0.7917,0.5377,0.9315,0.6042,0.9347,4132,17,31,826,2666,38,10,2292,4634,29,19,324
0.8122,0.3542,0.8167,0.5501,0.7917,0.5478,0.9209,0.625,0.9238,4049,17,31,909,2716,38,10,2242,4580,30,18,378
0.8196,0.2708,0.8249,0.5316,0.8125,0.5288,0.9139,0.6667,0.9163,4090,13,35,868,2622,39,9,2336,4543,32,16,415
0.8264,0.3542,0.831,0.5449,0.75,0.543,0.9271,0.4792,0.9314,4120,17,31,838,2692,36,12,2266,4618,23,25,340
0.825,0.3958,0.8292,0.5569,0.8125,0.5545,0.9317,0.6667,0.9342,4111,19,29,847,2749,39,9,2209,4632,32,16,326
0.8178,0.4375,0.8215,0.5326,0.8333,0.5296,0.9225,0.5208,0.9264,4073,21,27,885,2626,40,8,2332,4593,25,23,365
0.816,0.3333,0.8207,0.5463,0.75,0.5444,0.9269,0.5,0.931,4069,16,32,889,2699,36,12,2259,4616,24,24,342
0.8264,0.3542,0.831,0.5495,0.75,0.5476,0.9353,0.6875,0.9377,4120,17,31,838,2715,36,12,2243,4649,33,15,309
0.8162,0.375,0.8205,0.5358,0.8125,0.5331,0.9245,0.6458,0.9272,4068,18,30,890,2643,39,9,2315,4597,31,17,361
0.8256,0.2708,0.831,0.5384,0.7292,0.5365,0.9391,0.6042,0.9423,4120,13,35,838,2660,35,13,2298,4672,29,19,286
0.815,0.3125,0.8199,0.5469,0.8333,0.5442,0.9185,0.6042,0.9215,4065,15,33,893,2698,40,8,2260,4569,29,19,389
0.8156,0.3958,0.8197,0.5533,0.7708,0.5512,0.9305,0.4792,0.9349,4064,19,29,894,2733,37,11,2225,4635,23,25,323
0.8228,0.3125,0.8278,0.5471,0.7292,0.5454,0.9429,0.5833,0.9463,4104,15,33,854,2704,35,13,2254,4692,28,20,266
0.8256,0.25,0.8312,0.5507,0.6458,0.5498,0.9387,0.5625,0.9423,4121,12,36,837,2726,31,17,2232,4672,27,21,286
0.8186,0.3333,0.8233,0.537,0.8333,0.5341,0.9235,0.4792,0.9278,4082,16,32,876,2648,40,8,2310,4600,23,25,358
0.8296,0.375,0.834,0.5386,0.7292,0.5367,0.9421,0.6042,0.9453,4135,18,30,823,2661,35,13,2297,4687,29,19,271
0.8234,0.3958,0.8276,0.5431,0.8125,0.5405,0.9113,0.5417,0.9149,4103,19,29,855,2680,39,9,2278,4536,26,22,422
0.831,0.2917,0.8362,0.5559,0.75,0.5541,0.9179,0.5833,0.9211,4146,14,34,812,2747,36,12,2211,4567,28,20,391
0.8262,0.2917,0.8314,0.5404,0.7292,0.5385,0.9279,0.6042,0.931,4122,14,34,836,2670,35,13,2288,4616,29,19,342
0.8224,0.3542,0.8269,0.5477,0.8542,0.5448,0.9219,0.5417,0.9256,4100,17,31,858,2701,41,7,2257,4589,26,22,369
0.817,0.4375,0.8207,0.533,0.7708,0.5307,0.9233,0.6458,0.926,4069,21,27,889,2631,37,11,2327,4591,31,17,367
0.8178,0.3333,0.8225,0.5419,0.75,0.5399,0.9303,0.5833,0.9336,4078,16,32,880,2677,36,12,2281,4629,28,20,329
0.8228,0.3542,0.8273,0.5425,0.6667,0.5413,0.9339,0.5417,0.9377,4102,17,31,856,2684,32,16,2274,4649,26,22,309
0.82,0.4375,0.8237,0.5447,0.8333,0.542,0.9101,0.5833,0.9133,4084,21,27,874,2687,40,8,2271,4528,28,20,430
0.8282,0.3958,0.8324,0.5372,0.7292,0.5353,0.9289,0.75,0.9306,4127,19,29,831,2654,35,13,2304,4614,36,12,344
0.823,0.375,0.8273,0.5491,0.8333,0.5464,0.9145,0.5833,0.9177,4102,18,30,856,2709,40,8,2249,4550,28,20,408
0.825,0.2083,0.831,0.5394,0.8125,0.5367,0.9155,0.5625,0.9189,4120,10,38,838,2661,39,9,2297,4556,27,21,402
0.8174,0.4167,0.8213,0.5457,0.7083,0.5442,0.9179,0.5833,0.9211,4072,20,28,886,2698,34,14,2260,4567,28,20,391
0.8164,0.25,0.8219,0.5447,0.6875,0.5434,0.9295,0.3958,0.9347,4075,12,36,883,2694,33,15,2264,4634,19,29,324
0.8166,0.2708,0.8219,0.534,0.7708,0.5317,0.9101,0.6042,0.9131,4075,13,35,883,2636,37,11,2322,4527,29,19,431
0.8208,0.3333,0.8255,0.5453,0.7708,0.5432,0.9197,0.625,0.9225,4093,16,32,865,2693,37,11,2265,4574,30,18,384
0.8126,0.2292,0.8183,0.5346,0.7083,0.5329,0.9289,0.5833,0.9322,4057,11,37,901,2642,34,14,2316,4622,28,20,336
0.827,0.3125,0.832,0.5408,0.7708,0.5385,0.9343,0.6667,0.9369,4125,15,33,833,2670,37,11,2288,4645,32,16,313
0.825,0.375,0.8294,0.5553,0.8125,0.5528,0.9393,0.5625,0.9429,4112,18,30,846,2741,39,9,2217,4675,27,21,283
0.82,0.2917,0.8251,0.5467,0.7917,0.5444,0.9047,0.6458,0.9072,4091,14,34,867,2699,38,10,2259,4498,31,17,460
0.8338,0.3333,0.8386,0.5396,0.75,0.5375,0.9197,0.6042,0.9228,4158,16,32,800,2665,36,12,2293,4575,29,19,383
0.8222,0.2917,0.8273,0.5483,0.7708,0.5462,0.9243,0.5417,0.928,4102,14,34,856,2708,37,11,2250,4601,26,22,357
0.8156,0.3542,0.8201,0.5326,0.75,0.5305,0.9287,0.6458,0.9314,4066,17,31,892,2630,36,12,2328,4618,31,17,340
0.822,0.3333,0.8267,0.5441,0.75,0.5422,0.9289,0.5,0.933,4099,16,32,859,2688,36,12,2270,4626,24,24,332
0.8258,0.5,0.829,0.5469,0.8125,0.5444,0.9187,0.5833,0.9219,4110,24,24,848,2699,39,9,2259,4571,28,20,387
0.8238,0.3542,0.8284,0.5427,0.6875,0.5413,0.9327,0.6458,0.9355,4107,17,31,851,2684,33,15,2274,4638,31,17,320
0.817,0.2917,0.8221,0.5453,0.6875,0.544,0.9063,0.6667,0.9086,4076,14,34,882,2697,33,15,2261,4505,32,16,453
0.8268,0.25,0.8324,0.533,0.6875,0.5315,0.9353,0.4375,0.9401,4127,12,36,831,2635,33,15,2323,4661,21,27,297
0.8268,0.25,0.8324,0.5461,0.7708,0.544,0.9389,0.7083,0.9411,4127,12,36,831,2697,37,11,2261,4666,34,14,292
0.8208,0.3542,0.8253,0.5455,0.7708,0.5434,0.9283,0.6042,0.9314,4092,17,31,866,2694,37,11,2264,4618,29,19,340
0.8154,0.3125,0.8203,0.5374,0.8125,0.5347,0.9011,0.4375,0.9056,4067,15,33,891,2651,39,9,2307,4490,21,27,468
0.8204,0.2917,0.8255,0.5481,0.7708,0.546,0.9065,0.6042,0.9094,4093,14,34,865,2707,37,11,2251,4509,29,19,449
0.8218,0.4167,0.8257,0.5453,0.7708,0.5432,0.9211,0.5833,0.9244,4094,20,28,864,2693,37,11,2265,4583,28,20,375
0.8204,0.375,0.8247,0.538,0.7917,0.5355,0.9093,0.6667,0.9117,4089,18,30,869,2655,38,10,2303,4520,32,16,438
0.8212,0.3542,0.8257,0.5304,0.8125,0.5276,0.9313,0.6042,0.9344,4094,17,31,864,2616,39,9,2342,4633,29,19,325
0.8156,0.2917,0.8207,0.5507,0.7292,0.549,0.9383,0.7083,0.9405,4069,14,34,889,2722,35,13,2236,4663,34,14,295
0.823,0.3333,0.8278,0.5386,0.7708,0.5363,0.9251,0.6042,0.9282,4104,16,32,854,2659,37,11,2299,4602,29,19,356
0.8196,0.3333,0.8243,0.5394,0.7083,0.5377,0.9325,0.6875,0.9349,4087,16,32,871,2666,34,14,2292,4635,33,15,323
0.8204,0.2083,0.8263,0.541,0.6667,0.5397,0.9085,0.6458,0.9111,4097,10,38,861,2676,32,16,2282,4517,31,17,441
0.8272,0.3542,0.8318,0.5531,0.7708,0.551,0.9217,0.6042,0.9248,4124,17,31,834,2732,37,11,2226,4585,29,19,373
0.8206,0.3333,0.8253,0.5274,0.7292,0.5254,0.9041,0.6875,0.9062,4092,16,32,866,2605,35,13,2353,4493,33,15,465
0.8262,0.5,0.8294,0.5519,0.8333,0.5492,0.9175,0.6667,0.9199,4112,24,24,846,2723,40,8,2235,4561,32,16,397
0.8216,0.2708,0.8269,0.5384,0.7708,0.5361,0.9333,0.4792,0.9377,4100,13,35,858,2658,37,11,2300,4649,23,25,309
