Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
SVC,2,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,2,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,2,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
RandomForest,2,0.05,0.982,0.289,0.994,0.641,0.988,0.334
SGD,2,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,2,0.05,0.95,0.383,0.959,0.671,0.99,0.178
ExtraTrees,2,0.05,0.979,0.332,0.989,0.661,0.989,0.324
BaggingClassifierDT,2,0.05,0.975,0.31,0.986,0.648,0.989,0.274
BaggingClassifierLSVC,2,0.05,0.984,0.0,1.0,0.5,0.984,-0.0
SVC,2,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,2,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,2,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
RandomForest,2,0.1,0.976,0.306,0.987,0.646,0.989,0.279
SGD,2,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,2,0.1,0.916,0.389,0.924,0.657,0.989,0.106
ExtraTrees,2,0.1,0.969,0.346,0.979,0.663,0.989,0.252
BaggingClassifierDT,2,0.1,0.959,0.338,0.969,0.653,0.989,0.19
BaggingClassifierLSVC,2,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC,2,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,2,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,2,0.2,0.983,0.001,0.999,0.5,0.984,0.0
RandomForest,2,0.2,0.951,0.368,0.961,0.664,0.989,0.176
SGD,2,0.2,0.984,0.001,1.0,0.5,0.984,0.001
DecisionTree,2,0.2,0.857,0.466,0.863,0.665,0.99,0.068
ExtraTrees,2,0.2,0.942,0.407,0.95,0.679,0.99,0.163
BaggingClassifierDT,2,0.2,0.91,0.403,0.918,0.66,0.989,0.102
BaggingClassifierLSVC,2,0.2,0.983,0.001,0.999,0.5,0.984,-0.0
SVC,2,0.3,0.984,0.001,1.0,0.5,0.984,0.001
SVC_Linear,2,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,2,0.3,0.982,0.003,0.998,0.501,0.984,0.002
RandomForest,2,0.3,0.914,0.387,0.922,0.654,0.989,0.103
SGD,2,0.3,0.983,0.001,0.999,0.5,0.984,0.001
DecisionTree,2,0.3,0.801,0.497,0.806,0.652,0.99,0.046
ExtraTrees,2,0.3,0.905,0.415,0.913,0.664,0.99,0.099
BaggingClassifierDT,2,0.3,0.857,0.442,0.864,0.653,0.99,0.064
BaggingClassifierLSVC,2,0.3,0.982,0.005,0.998,0.501,0.984,0.004
SVC,2,0.4,0.984,0.001,1.0,0.5,0.984,0.001
SVC_Linear,2,0.4,0.984,0.001,1.0,0.5,0.984,0.001
LinearSVC,2,0.4,0.98,0.011,0.996,0.503,0.984,0.009
RandomForest,2,0.4,0.87,0.472,0.876,0.674,0.99,0.079
SGD,2,0.4,0.963,0.034,0.978,0.506,0.984,0.005
DecisionTree,2,0.4,0.761,0.536,0.765,0.65,0.99,0.038
ExtraTrees,2,0.4,0.86,0.486,0.866,0.676,0.99,0.074
BaggingClassifierDT,2,0.4,0.802,0.523,0.806,0.665,0.99,0.05
BaggingClassifierLSVC,2,0.4,0.979,0.014,0.995,0.504,0.984,0.013
SVC,2,0.5,0.981,0.005,0.997,0.501,0.984,0.002
SVC_Linear,2,0.5,0.982,0.001,0.998,0.5,0.984,-0.0
LinearSVC,2,0.5,0.971,0.024,0.987,0.505,0.984,0.012
RandomForest,2,0.5,0.82,0.453,0.826,0.64,0.989,0.047
SGD,2,0.5,0.839,0.177,0.85,0.513,0.985,0.005
DecisionTree,2,0.5,0.714,0.534,0.717,0.626,0.989,0.027
ExtraTrees,2,0.5,0.813,0.468,0.818,0.643,0.989,0.047
BaggingClassifierDT,2,0.5,0.749,0.511,0.753,0.632,0.989,0.032
BaggingClassifierLSVC,2,0.5,0.969,0.025,0.984,0.505,0.984,0.01
SVC,3,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC_Linear,3,0.05,0.984,0.0,1.0,0.5,0.984,0.0
LinearSVC,3,0.05,0.984,0.0,1.0,0.5,0.984,0.0
RandomForest,3,0.05,0.984,0.258,0.996,0.627,0.988,0.33
SGD,3,0.05,0.984,0.0,1.0,0.5,0.984,0.0
DecisionTree,3,0.05,0.949,0.354,0.958,0.656,0.989,0.162
ExtraTrees,3,0.05,0.98,0.292,0.991,0.642,0.988,0.306
BaggingClassifierDT,3,0.05,0.978,0.269,0.989,0.629,0.988,0.267
BaggingClassifierLSVC,3,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC,3,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,3,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,3,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
RandomForest,3,0.1,0.979,0.301,0.99,0.646,0.989,0.302
SGD,3,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,3,0.1,0.917,0.399,0.926,0.662,0.99,0.11
ExtraTrees,3,0.1,0.971,0.328,0.981,0.654,0.989,0.248
BaggingClassifierDT,3,0.1,0.963,0.348,0.973,0.66,0.989,0.213
BaggingClassifierLSVC,3,0.1,0.984,0.001,1.0,0.5,0.984,0.001
SVC,3,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,3,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,3,0.2,0.983,0.001,0.999,0.5,0.984,0.0
RandomForest,3,0.2,0.959,0.357,0.969,0.663,0.989,0.203
SGD,3,0.2,0.984,0.001,1.0,0.5,0.984,0.001
DecisionTree,3,0.2,0.856,0.45,0.862,0.656,0.99,0.064
ExtraTrees,3,0.2,0.947,0.372,0.956,0.664,0.989,0.164
BaggingClassifierDT,3,0.2,0.918,0.389,0.926,0.658,0.989,0.109
BaggingClassifierLSVC,3,0.2,0.983,0.001,0.999,0.5,0.984,0.001
SVC,3,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,3,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,3,0.3,0.982,0.004,0.998,0.501,0.984,0.003
RandomForest,3,0.3,0.93,0.398,0.939,0.669,0.99,0.133
SGD,3,0.3,0.977,0.011,0.993,0.502,0.984,0.003
DecisionTree,3,0.3,0.803,0.512,0.808,0.66,0.99,0.049
ExtraTrees,3,0.3,0.908,0.407,0.916,0.662,0.99,0.102
BaggingClassifierDT,3,0.3,0.868,0.462,0.874,0.668,0.99,0.075
BaggingClassifierLSVC,3,0.3,0.982,0.004,0.998,0.501,0.984,0.002
SVC,3,0.4,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,3,0.4,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,3,0.4,0.979,0.011,0.995,0.503,0.984,0.008
RandomForest,3,0.4,0.886,0.425,0.894,0.659,0.99,0.082
SGD,3,0.4,0.91,0.078,0.923,0.501,0.984,0.003
DecisionTree,3,0.4,0.756,0.539,0.76,0.649,0.99,0.037
ExtraTrees,3,0.4,0.865,0.447,0.872,0.66,0.99,0.071
BaggingClassifierDT,3,0.4,0.809,0.488,0.814,0.651,0.99,0.048
BaggingClassifierLSVC,3,0.4,0.978,0.011,0.994,0.502,0.984,0.007
SVC,3,0.5,0.975,0.01,0.991,0.5,0.984,0.0
SVC_Linear,3,0.5,0.982,0.002,0.998,0.5,0.984,-0.0
LinearSVC,3,0.5,0.971,0.017,0.987,0.502,0.984,0.004
RandomForest,3,0.5,0.845,0.462,0.851,0.656,0.99,0.06
SGD,3,0.5,0.883,0.122,0.895,0.509,0.984,0.001
DecisionTree,3,0.5,0.718,0.542,0.721,0.632,0.99,0.029
ExtraTrees,3,0.5,0.82,0.474,0.825,0.65,0.99,0.051
BaggingClassifierDT,3,0.5,0.756,0.537,0.76,0.649,0.99,0.037
BaggingClassifierLSVC,3,0.5,0.968,0.024,0.983,0.504,0.984,0.007
SVC,4,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC_Linear,4,0.05,0.984,0.0,1.0,0.5,0.984,0.0
LinearSVC,4,0.05,0.984,0.0,1.0,0.5,0.984,0.0
RandomForest,4,0.05,0.985,0.24,0.997,0.619,0.988,0.328
SGD,4,0.05,0.984,0.0,1.0,0.5,0.984,0.0
DecisionTree,4,0.05,0.949,0.357,0.959,0.658,0.989,0.164
ExtraTrees,4,0.05,0.98,0.26,0.992,0.626,0.988,0.286
BaggingClassifierDT,4,0.05,0.979,0.268,0.991,0.63,0.988,0.283
BaggingClassifierLSVC,4,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC,4,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,4,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,4,0.1,0.984,0.001,1.0,0.5,0.984,0.001
RandomForest,4,0.1,0.98,0.257,0.992,0.624,0.988,0.278
SGD,4,0.1,0.984,0.001,1.0,0.5,0.984,0.001
DecisionTree,4,0.1,0.915,0.378,0.924,0.651,0.989,0.102
ExtraTrees,4,0.1,0.97,0.291,0.981,0.636,0.988,0.221
BaggingClassifierDT,4,0.1,0.963,0.301,0.974,0.637,0.988,0.19
BaggingClassifierLSVC,4,0.1,0.984,0.001,1.0,0.5,0.984,0.001
SVC,4,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,4,0.2,0.984,0.001,1.0,0.5,0.984,0.001
LinearSVC,4,0.2,0.983,0.001,0.999,0.5,0.984,-0.0
RandomForest,4,0.2,0.961,0.324,0.971,0.647,0.989,0.192
SGD,4,0.2,0.984,0.001,1.0,0.5,0.984,0.001
DecisionTree,4,0.2,0.851,0.431,0.857,0.644,0.989,0.058
ExtraTrees,4,0.2,0.94,0.336,0.949,0.643,0.989,0.132
BaggingClassifierDT,4,0.2,0.92,0.374,0.929,0.652,0.989,0.107
BaggingClassifierLSVC,4,0.2,0.983,0.001,0.999,0.5,0.984,0.001
SVC,4,0.3,0.984,0.001,1.0,0.5,0.984,0.001
SVC_Linear,4,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,4,0.3,0.981,0.003,0.997,0.5,0.984,0.001
RandomForest,4,0.3,0.931,0.341,0.94,0.641,0.989,0.116
SGD,4,0.3,0.978,0.011,0.994,0.502,0.984,0.003
DecisionTree,4,0.3,0.803,0.472,0.808,0.64,0.989,0.043
ExtraTrees,4,0.3,0.902,0.368,0.911,0.639,0.989,0.084
BaggingClassifierDT,4,0.3,0.867,0.412,0.874,0.643,0.989,0.064
BaggingClassifierLSVC,4,0.3,0.98,0.006,0.996,0.501,0.984,0.004
SVC,4,0.4,0.983,0.0,0.999,0.499,0.984,-0.001
SVC_Linear,4,0.4,0.984,0.001,1.0,0.5,0.984,0.001
LinearSVC,4,0.4,0.977,0.008,0.993,0.501,0.984,0.002
RandomForest,4,0.4,0.887,0.398,0.895,0.647,0.989,0.077
SGD,4,0.4,0.955,0.043,0.97,0.506,0.984,0.006
DecisionTree,4,0.4,0.752,0.526,0.756,0.641,0.99,0.035
ExtraTrees,4,0.4,0.855,0.419,0.863,0.641,0.989,0.059
BaggingClassifierDT,4,0.4,0.806,0.485,0.811,0.648,0.99,0.046
BaggingClassifierLSVC,4,0.4,0.975,0.012,0.991,0.502,0.984,0.005
SVC,4,0.5,0.983,0.0,0.999,0.5,0.984,-0.001
SVC_Linear,4,0.5,0.984,0.001,1.0,0.5,0.984,0.001
LinearSVC,4,0.5,0.964,0.034,0.979,0.506,0.984,0.012
RandomForest,4,0.5,0.841,0.426,0.848,0.637,0.989,0.052
SGD,4,0.5,0.798,0.226,0.807,0.516,0.985,0.006
DecisionTree,4,0.5,0.723,0.533,0.727,0.63,0.99,0.029
ExtraTrees,4,0.5,0.804,0.433,0.81,0.621,0.989,0.038
BaggingClassifierDT,4,0.5,0.753,0.509,0.757,0.633,0.99,0.033
BaggingClassifierLSVC,4,0.5,0.958,0.042,0.973,0.508,0.984,0.011
SVC,5,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC_Linear,5,0.05,0.984,0.0,1.0,0.5,0.984,0.0
LinearSVC,5,0.05,0.984,0.0,1.0,0.5,0.984,0.0
RandomForest,5,0.05,0.985,0.186,0.998,0.592,0.987,0.279
SGD,5,0.05,0.984,0.0,1.0,0.5,0.984,0.0
DecisionTree,5,0.05,0.948,0.31,0.958,0.634,0.988,0.141
ExtraTrees,5,0.05,0.98,0.216,0.992,0.604,0.987,0.245
BaggingClassifierDT,5,0.05,0.979,0.234,0.991,0.613,0.988,0.253
BaggingClassifierLSVC,5,0.05,0.984,0.0,1.0,0.5,0.984,0.0
SVC,5,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC_Linear,5,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,5,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
RandomForest,5,0.1,0.981,0.242,0.993,0.618,0.988,0.281
SGD,5,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,5,0.1,0.911,0.376,0.92,0.648,0.989,0.096
ExtraTrees,5,0.1,0.968,0.268,0.979,0.624,0.988,0.196
BaggingClassifierDT,5,0.1,0.965,0.309,0.975,0.642,0.989,0.202
BaggingClassifierLSVC,5,0.1,0.984,0.0,1.0,0.5,0.984,-0.0
SVC,5,0.2,0.984,0.0,1.0,0.5,0.984,0.0
SVC_Linear,5,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,5,0.2,0.983,0.0,0.999,0.5,0.984,-0.001
RandomForest,5,0.2,0.961,0.268,0.972,0.62,0.988,0.163
SGD,5,0.2,0.984,0.0,1.0,0.5,0.984,-0.0
DecisionTree,5,0.2,0.85,0.408,0.857,0.633,0.989,0.053
ExtraTrees,5,0.2,0.935,0.295,0.946,0.621,0.988,0.106
BaggingClassifierDT,5,0.2,0.92,0.348,0.929,0.639,0.989,0.1
BaggingClassifierLSVC,5,0.2,0.983,0.0,0.999,0.5,0.984,-0.002
SVC,5,0.3,0.984,0.0,1.0,0.5,0.984,0.0
SVC_Linear,5,0.3,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,5,0.3,0.982,0.001,0.998,0.5,0.984,-0.001
RandomForest,5,0.3,0.934,0.307,0.944,0.625,0.988,0.108
SGD,5,0.3,0.983,0.004,0.999,0.501,0.984,0.004
DecisionTree,5,0.3,0.804,0.46,0.81,0.635,0.989,0.042
ExtraTrees,5,0.3,0.897,0.328,0.906,0.617,0.988,0.068
BaggingClassifierDT,5,0.3,0.874,0.4,0.882,0.641,0.989,0.066
BaggingClassifierLSVC,5,0.3,0.981,0.004,0.997,0.501,0.984,0.002
SVC,5,0.4,0.982,0.001,0.998,0.499,0.984,-0.001
SVC_Linear,5,0.4,0.984,0.0,1.0,0.5,0.984,-0.0
LinearSVC,5,0.4,0.979,0.009,0.995,0.502,0.984,0.006
RandomForest,5,0.4,0.889,0.4,0.897,0.649,0.989,0.08
SGD,5,0.4,0.915,0.091,0.928,0.509,0.984,0.004
DecisionTree,5,0.4,0.75,0.538,0.754,0.646,0.99,0.036
ExtraTrees,5,0.4,0.848,0.414,0.855,0.634,0.989,0.054
BaggingClassifierDT,5,0.4,0.81,0.495,0.815,0.655,0.99,0.049
BaggingClassifierLSVC,5,0.4,0.977,0.016,0.992,0.504,0.984,0.011
SVC,5,0.5,0.971,0.012,0.987,0.5,0.984,-0.001
SVC_Linear,5,0.5,0.982,0.001,0.998,0.5,0.984,-0.0
LinearSVC,5,0.5,0.967,0.025,0.982,0.504,0.984,0.006
RandomForest,5,0.5,0.842,0.433,0.849,0.641,0.989,0.054
SGD,5,0.5,0.788,0.245,0.797,0.521,0.985,0.007
DecisionTree,5,0.5,0.713,0.543,0.716,0.629,0.99,0.028
ExtraTrees,5,0.5,0.799,0.445,0.805,0.625,0.989,0.038
BaggingClassifierDT,5,0.5,0.758,0.54,0.762,0.651,0.99,0.038
BaggingClassifierLSVC,5,0.5,0.955,0.043,0.97,0.507,0.984,0.01
